hr,spo2,skinTemp,ambientGasPpm,zoneTemp,ppeCompliant,shiftDurationHours,pastIncidentCount,age,accident_occurred
91,95,32.95403986197909,33,53,1,0.5300779595295182,1,52,0
86,99,38.35148149986695,52,29,1,4.055895109133662,4,33,1
87,96,35.80642254402174,15,35,1,4.005187228924543,0,54,0
76,100,37.683130740891855,38,37,1,8.108845612466824,0,20,0
75,93,39.36817855425098,32,30,0,5.557732818285063,2,53,0
94,100,37.014288703821826,12,32,1,1.7968476299431322,0,45,0
82,97,39.06776808906442,22,30,1,4.0575669542501265,2,59,0
60,97,34.589481645637335,37,29,0,0.9238618454108927,2,32,0
105,98,36.277270828658125,26,56,0,9.592886286139498,5,28,0
87,96,37.574090241473186,14,54,1,6.833248091822697,2,59,0
86,97,39.64675535243971,10,31,1,6.83473686717766,2,23,0
99,98,36.44774980482794,38,24,1,2.959019178046089,0,41,0
101,94,37.33717478149392,49,37,0,7.911660971928927,0,32,0
95,99,37.65237661157609,29,36,1,6.637220311133471,0,21,0
60,96,37.619751328355015,16,47,1,2.984165389746522,0,54,0
93,99,38.127832461727124,18,33,1,1.9513921156028728,1,60,0
133,94,34.08030649942122,34,41,1,9.445372782139783,2,62,1
75,95,38.433029867879796,47,45,0,10.915117130381708,3,35,0
78,98,34.955422768155174,18,21,1,8.712822544842618,0,36,0
60,100,38.407008519684496,27,53,0,0.8395021837366407,0,38,0
63,97,38.2084169627695,39,11,1,4.215528596674859,1,49,0
60,94,37.602118750141514,31,23,0,3.4068339116713435,0,57,0
83,97,36.74011249317577,15,36,1,7.815200180097699,0,60,0
116,98,38.224536678212736,21,28,1,10.45920141600013,0,42,0
88,94,36.822146661802854,31,39,1,5.744073134460037,1,27,0
62,93,37.96732216690166,26,34,0,11.192391462842343,5,55,0
85,98,39.950589390752334,11,36,1,4.779785950072167,0,33,0
95,97,36.7315157967629,13,44,0,8.723463670003113,0,51,0
100,96,40.771269236104,9,29,0,10.355765224220908,0,63,0
127,93,36.147385494609665,10,57,1,0.2516450606069106,3,43,0
75,96,39.7957347108224,58,42,1,9.044440264777426,0,20,1
80,95,36.36812330883127,23,35,1,1.2145830969580393,3,49,0
110,97,37.19016566039561,56,35,1,0.6085196034736893,1,52,1
90,98,37.62247950393876,25,30,1,6.13756058260703,0,41,0
99,99,37.59527319088702,48,40,1,1.0281849994619985,0,59,0
117,95,36.99461023024008,29,37,1,7.3147366509786425,3,55,0
60,100,40.38169573439679,46,45,1,7.287054098889249,0,42,0
89,96,36.445196154847594,35,24,1,4.631827665867947,0,24,0
143,97,37.85138944336631,31,32,0,5.770093784866695,0,36,1
109,99,38.154317823348954,44,44,1,0.35527593574463906,4,53,0
123,98,38.86687273995627,41,42,1,8.386816937391592,0,44,0
117,96,39.26522920972356,28,30,0,0.7971701512130023,0,51,1
68,96,36.54205144851109,42,52,0,1.9773658477056926,0,25,0
93,98,34.47766564067906,61,28,1,2.6582117486006593,2,61,1
106,94,36.681971404551604,42,29,1,3.018112919422171,0,34,0
116,97,39.650153827878256,40,23,1,11.93361734444372,0,47,0
78,95,39.47753663964645,25,40,1,7.410147796738191,0,58,0
60,93,37.74022541928268,48,2,1,2.7380229648760035,0,31,0
